卫生太差了，而且还不准备给我换床单被套,卫生,negative,,,,,,,,,,,,
自己看图吧！给我找了个别人上班住的地方！睡地上！被子还有味道！唉！,卫生,negative,,,,,,,,,,,,
居然拍私人身份证照片，很不满,服务,negative,,,,,,,,,,,,
脏乱差，明明都下完单啦！到地方还要求加钱。,环境,negative,价格,negative,,,,,,,,,,
实在不敢恭维，被子有汗臭味，厕所非常脏，不是什么公寓，实际是跟16个女生拼住一晚上，空调晚上才打开。早上马上关！没有好印象。,环境,negative,卫生,negative,,,,,,,,,,
第一次来北京看到的青旅最差的一个，反正你能想到有多差就有多差，我对环境不是很看重的都觉得差，如果大家觉得地域方便合适还是可以考虑一下的，毕竟帝都那么便宜的房子确实少见，能将就就将就一下呗，反正出来玩就要找罪受........,环境,negative,,,,,,,,,,,,
爱干净的就别去了，都是北漂蜗居的,卫生,negative,,,,,,,,,,,,
实在是太差了。不是青旅而是一个求职公寓式的上下铺，脏乱差具齐了。里面全是北京工作的常住客。价格在这里摆着，小几十块钱就是这种。地址在一个莫名其妙盗窃事故高发的小区。去哪儿上面没有详细地址，到了附近必须给老板打电话。床单被套全部都是脏的，一晚上没睡好，不敢脱衣服盖被子。一进门时真是惊呆了，辣眼睛啊，朋友们。连老板们在哪里都不知道，住着都担心人身安全。,价格,positive,老板,negative,环境,negative,,,,,,,,
没有早操，不能加床，不适合带孩子，位置还行，就是服务态度很不好，连双拖鞋都不给找，气人,态度,negative,位置,positive,服务,negative,,,,,,,,
该酒店晚上这么热居然不开空调，热的要死，没见过这么干的。,环境,negative,,,,,,,,,,,,
体验不好，不是青旅，不是网上写的地方，是旁边另外的地方,位置,negative,,,,,,,,,,,,
老板人不错,老板,positive,,,,,,,,,,,,
气味刺鼻，床太硬，枕头太不舒服。睡不着觉。房间东西很乱。就是交通方便一些。,交通,positive,环境,negative,卫生,negative,,,,,,,,
老板，做生意要讲诚信。我住的地铺是按照8人间算的。但是我住的第2天收的钱比有床的6人间和4人间还贵，你要说我在大厅的地铺比其它房间待遇好，该多收钱我也无话可说，你们当时收钱时我就在旁边全听到了。是因为我只住一两天，认为我不会很清楚价钱，还是感觉我好骗呢。,老板,negative,价格,negative,,,,,,,,,,
环境不好，卫生一般，价格便宜,环境,negative,价格,positive,卫生,negative,,,,,,,,
很差劲，老板也很抠门,老板,negative,,,,,,,,,,,,
住了一群光膀子的人，半夜还开大声玩手机！,环境,negative,,,,,,,,,,,,
位置非常难找，住宿人员素质参差不齐，各种各样的人都有，条件脏乱差，人太多，不到50平米的一套小公寓，住了8+4+6个人，你可以想像吧？不知道好评都怎么来的！,位置,negative,环境,negative,,,,,,,,,,
我跟朋友国庆期间赶到后，是在小区居民房里，一间房子连通着，大概十几张床，稍微有个分隔，一个洗手间，里面一个花洒，一个马桶，一个洗手池。住的人比较多，好像大多是长住的，东西比较杂乱，衣服鞋子到处都是，但安全还可以保证，要留身份信息，后来阿姨都会删掉。当时国庆宾馆贵也不好找，想在这中转，还好只住一晚，49元很很很不值，不建议出游的人来住。,环境,negative,,,,,,,,,,,,
房间非常脏乱差，味道也很重，设施基本没有，很难住下去,设施,negative,环境,negative,卫生,negative,,,,,,,,
条件太差了,环境,negative,,,,,,,,,,,,
环境脏乱差，安全无法保证，一个房间住人太多了,环境,negative,安全,negative,,,,,,,,,,
大家千万别住这家旅舍。一个小时房东都给钥匙，也不说地址。直接挂电话。以后不会再来了,房东,negative,,,,,,,,,,,,
简直就是猪窝，人均面积约4平米，大家别省这个钱,环境,negative,,,,,,,,,,,,
民房改造的吧，凑合睡几个小时,环境,negative,,,,,,,,,,,,
有点恐怖的样子,环境,negative,,,,,,,,,,,,
上面写着四人间，我付了钱打电话问，又只能去一个人住，退钱也退不了，套路太深，又丢了一百多元钱。,价格,negative,,,,,,,,,,,,
地理位置优越，坐地铁很方便，环境一般，不过在大北京这样已经很不错了 ，适合个人旅游,环境,neutral,位置,positive,,,,,,,,
交通很好 枕头很舒服 但是总体环境只能说是一般般,环境,neutral,交通,positive,枕头,positive,,,,,,
不错哦，老板人很有趣,老板,positive,,,,,,,,,,
除了价格划算之外，交通方便，其他不咋地。这间房子只有一个卫生间，男女共用，十几个人一起用，感觉这个厕所有点吃不消，装厕纸的桶都满出来了，所以在厕所里，味道还是比较大的。总的来说 在北京，这是家价格低廉，交通方便的暂住式公寓。,交通,positive,价格,positive,卫生间,negative,,,,,,
和室友奔着国图来的，位置可方便，性价比啥的比较适合学生，然后老板挺可爱，所以整体还挺好。,位置,positive,性价比,positive,老板,positive,,,,,,
老板很好很亲切，到小区门口接的我，还帮忙提了行李。环境还不错，挺干净的，有厨房，厨房里还有大冰箱。,环境,positive,老板,positive,,,,,,,,
这里的交通很方便离地铁站很近，小伙伴也都很友好很好相处，环境也很好干净卫生，周围的生活氛围也不错，隔壁就是图书馆，总之各个方面都挺好的，来到北京住在这你绝对不会后悔的。,环境,positive,交通,positive,氛围,positive,,,,,,
环境不错 干净卫生 而且隔音很好哦,环境,positive,隔音,positive,,,,,,,,
特别棒的一次入住，已经续住俩次，你就说6不6，环境干净，老板人好，住的也好。,环境,positive,老板,positive,,,,,,,,
气氛嗨，气氛嗨，住青旅也是一种很有趣的体验。房间每天都有阿姨收拾。很干净啊。交通也很方便。我们玩的超级嗨皮。开心啊,交通,positive,气氛,positive,房间,positive,,,,,,
还可以，优惠，便宜，实在！,价格,positive,,,,,,,,,,,,
呵呵，这里写的地址有误，在这个地址对面,位置,negative,,,,,,,,,,,,
服务态度很差，位置很偏,态度,negative,位置,positive,服务,negative,,,,,,,,
有一个打呼噜的实在是太烦了,环境,negative,,,,,,,,,,,,
住宿的条件一般凑合着吧,环境,negative,,,,,,,,,,,,
卖家到店以后就地涨价，,价格,negative,,,,,,,,,,,,
设施都不行， 住客多， 公共空间少， 床容易摇晃，一个人动，下铺，旁边的都跟着动，摇晃幅度很大， 前台废话多， 如果不差那点钱，就不要去了。,设施,negative,环境,negative,,,,,,,,,,
先说说有点，从北京南站坐地铁4号线过来还是很方便的。此次来京专门是来北京音乐厅听音乐会的，酒店马路对面就有14路可以到，在六部口下车往回走几步就能到音乐厅了。无论是酒店整体还是房间都很破旧，斑驳的墙壁，卫生间很小有异味，房间也很小，也有股味道，床单、被套也不是很干净。整体住宿体验不舒服，以后还是住有点知名度的经济型连锁酒店比较好。,卫生,negative,位置,positive,设施,negative,,,,,,,,
没早餐，打扫卫生不给洗发水，天天要去要，洗脸毛巾也没有，房间超级小，还有蟑螂爬，住过的最差酒店了！！,卫生,negative,,,,,,,,,,,,
浴室分开的，房间卫生嘛hhhh十个人是真的挤 公共区域也小，bar可以看世界杯 洗衣服要25块，还没地方给你晾 厕所湿哒哒的 主要都是做外国人生意 竟然还没有饮用水，只能在bar那里烧水 还算是市区，去北海公园天安门都不太远 但是周围很空荡，想买点东西都很难,卫生,negative,环境,negative,,,,,,,,,,
比较失望，床和房间都比较小，订了大床房进门以为是单人间。亏得几乎没有行李，否则会摆不下。床单枕套也没有及时更换，可以看到明显的污迹。最恶心的是马桶圈上有明显未干的尿液。设备设施感觉就是以前的老旧旅社即略微装饰一下。墙壁上各种污渍。便是青年旅店，价格实惠，也要做出做旅店的起码行业素质吧。总之不是想象的样子。,价格,positive,设施,negative,卫生,negative,,,,,,,,
前台服务非常差，大家千万不要去，住宿就像回家一样，累了一天，还影响心情,服务,negative,,,,,,,,,,,,
前台服务人员到底什么人，不是应该耐心跟别人说明吗，搞得好像不耐烦，入住房间多问你几个问题，你还要骂我是么？北京旅店都这样对自己国家的人的话，请问对待外国人，你岂不是还要揍人家啊，我真的是服服服。我出国旅游青旅都没这么差过，而且价格比这便宜多多了，人家都没对我甩脸子啥的,服务,negative,价格,negative,态度,negative,,,,,,,,
前台挺瘦的男的废话太多，及其不礼貌，一副不住赶紧滚的意思,态度,negative,,,,,,,,,,,,
服务一般，环境更一般，地上随处可见头发，我们住了两晚，中途浴巾都没有人给换，没有梳子，更没有饮用水,环境,negative,服务,negative,,,,,,,,,,
看到4.4的好评才定的。一进房间就被卫生间的臭味熏的恶心。房间很小烧热水的地方都没有只能放在床上离插座近的地方烧水。房间隔音更差。隔壁和楼下说话都能听到。前台服务员说话很冲。服务行业要说话温柔礼貌点的。这态度没有下次。这是我在携程定的所有酒店里同等档次里最差的一个。也不知道好评是咋来的！也是我唯一写这么多差评的酒店。,态度,negative,服务,negative,卫生,negative,隔音,negative,,,,,,
就是半个地下室，潮湿阴暗，没窗户，要续住的话告诉你你的房订给别人了，谁让你不提前告诉前台，要退房的话要多扣你一天房费，说多给你预留一天住不住是你的事， 前提是入住前，他们从来不告诉你这些，真实个坑啊，，人傻钱多的可以跳。。,环境,negtaive,价格,negative,,,,,,,,,,
一、酒店周围没有停车位。二、房间不隔音，特别吵。三、房间里特别潮湿，空调开抽湿一夜还是很潮湿。四、最最重要的是，服务态度极其差！前台有个女的对顾客特别横，还以为她更年期到了。,态度,negative,服务,negative,隔音,negative,位置,negative,,,,,,
青年旅馆，胜在便宜，市中心，适合个人旅行,价格,positive,,,,,,,,,,,,
凌晨抵达酒店，服务员态度极差！ 床单枕头套颜色污浊、 毛巾有异味、房间有蚊子、 旁边正在施工，很吵，完全睡不着、 窗口看出去正是马路，没有私密性。,态度,negative,服务,negative,卫生,negative,环境,negative,,,,,,
差评，不换床单，不提前通知退房不退房，服务态度极差,态度,negative,服务,negative,卫生,negative,,,,,,,,
房间特别潮湿空调上的管基本有水要滴下来，墙头都湿了一半，有异味特别重。前台特别拽。感觉特别亏。。。。。。。,卫生,negative,,,,,,,,,,,,
店主服务热情，隔壁还有个小酒吧，上上网，聊聊天，喝点小酒，都很方便，就是房间内的空调声音太大了，晚上有点吵,服务,negative,环境,negative,,,,,,,,,,
还可以吧，房间设施陈旧，卫生很一般，住的老外比较多，别的倒都可以，就是有些吵闹，住的不是很舒服，要求不高的话图便宜就住吧,设施,negative,卫生,negative,价格,positive,,,,,,,,
新装修的房间异味非常严重，很难闻,卫生,negative,,,,,,,,,,,,
便宜，太吵！若一个人要去北京又不是特别怕吵是可以来住，要靠最里面的好点，优惠价的房间都靠服务台。,服务,negative,环境,negative,,,,,,,,,,
卫生不打扫，服务员态度极其恶劣，对外国人就非常热情,态度,negative,服务,negative,卫生,negative,,,,,,,,
公共区域太小 卫生状况一般,卫生,negative,,,,,,,,,,,,
前台那个女的服务极差，牛逼哄哄的，还变相乱收费，看客户有事急着退房，就变相多扣你钱，住宿条件也不好，屋子里全是管子，没有窗户，通风不好，有异味。,服务,negative,环境,negative,价格,negative,,,,,,,,
连订了三天，房间小，两张床是横竖放的，蚊虫多，没洗漱用品，服务差。最可气的是住了三天就给打扫了一次房间，还说枕套弄脏了，要出清洗费20，先不说到底是谁弄脏的（整理的时候人不在，门口脏的东西乱扔），就一点点地方张口就要20，这个破枕套都不值这点钱，太黑了。这种地方也就骗骗外国学生，任何快捷酒店都比它强得多，整个一黑店,服务,negative,价格,negative,卫生,negative,,,,,,,,
电视还用模拟信号的，有雪花，不多见,设施,negative,,,,,,,,,,,,
屋内还能活人吗，十人屋空气不流通！,环境,negative,,,,,,,,,,,,
服务不好，乱收费,服务,negative,价格,negative,,,,,,,,,,
不想说什么了！特别坑！有的人可以交十人间的钱住四人间的房！而有的人交大床房的钱却住四人间的房！太过分了！,价格,negative,,,,,,,,,,,,
服务极差，态度恶劣，变相乱收费。住宿条件很差，床铺很潮湿，床单很脏也不换，屋子里全是管道，,态度,negative,服务,negative,,,,,,,,,,
垃圾无比，前台服务态度极差。到处是坑，房价便宜套路深,态度,negative,服务,negative,,,,,,,,,,
谁住谁后悔，服务很差，前台那个女的变相乱收费，贱人。,服务,negative,价格,negative,,,,,,,,,,
房间挺暖和，但是房间有些味道,环境,negative,,,,,,,,,,,,
服务不好，不建议入住。,服务,negative,,,,,,,,,,,,
位置好，但下水道味道太大，接受不了！,位置,positive,环境,negative,,,,,,,,,,
不是大床房，构造不合理，WiFi不能用，,环境,negative,,,,,,,,,,,,
连订了三天，房间小，两张床是横竖放的，蚊虫多，没洗漱用品，服务差。最可气的是住了三天就给打扫了一次房间，还说枕套弄脏了，要出清洗费20，先不说到底是谁弄脏的（整理的时候人不在，门口脏的东西乱扔），就一点点地方张口就要20，这个破枕套都不值这点钱，太黑了。这种地方也就骗骗外国学生，任何快捷酒店都比它强得多，整个一黑店,服务,negative,环境,negative,卫生,negative,,,,,,,,
连订了三天，房间小，两张床是横竖放的，蚊虫多，没洗漱用品，服务差。最可气的是住了三天就给打扫了一次房间，还说枕套弄脏了，要出清洗费20，先不说到底是谁弄脏的（整理的时候人不在，门口脏的东西乱扔），就一点点地方张口就要20，这个破枕套都不值这点钱，太黑了。这种地方也就骗骗外国学生，任何快捷酒店都比它强得多，整个一黑店,服务,negative,环境,negative,卫生,negative,,,,,,,,
环境一般服务很烂很不友好价格有点高,环境,negative,服务,negative,价格,positive,,,,,,,,
不想说什么了！特别坑！有的人可以交十人间的钱住四人间的房！而有的人交大床房的钱却住四人间的房！太过分了！,价格,negative,,,,,,,,,,,,
服务态度差，很不满意，我只是没有及时还吹风机，服务员就很差的态度的说我！我是消费者，你们店只有两个吹风机，这么多人住，你们供应不足，还怪我咯？！ 房间小，洗澡间少，不够用！,态度,negative,服务,negative,环境,negative,,,,,,,,
真不行，住过的青旅中最差，前台的男的一脸说不出的讨厌感,服务,negative,,,,,,,,,,,,
我住的是十人间，空气不好，半夜就觉得缺氧了，早上5点就起床退房了，还有就是卫生间太远了很不方便,卫生,negative,,,,,,,,,,,,
服务不满意，不会有下次。,服务,negative,,,,,,,,,,,,
幸亏没开，一问才知道屋子太小，开空调声音太大。再说屋子，两个双人上下床，距离半米，门口一个柜子，这么小屋子居然没有窗户，睡四个人一晚上差点闷死，明显感觉氧气不够用，如果有一个臭脚屋子就没法待了。隔音就别说了，墙那边打呼噜听的清清楚楚。别的屋子不知道，但是就这四人间，这服务，真的太差劲了。,服务,negative,隔音,negative,环境,negative,,,,,,,,
6月2日凌晨，本人因嗓子疼，需要热水，值班服务员不提供热水，而且态度不好。,态度,negative,服务,negative,,,,,,,,,,
住过环境第一差的地方，一般不轻易换地方住的人第二天慌忙逃走,环境,negative,,,,,,,,,,,,
地理位置还可以 里面感觉住了很多外国人 设施有的久 不在乎的可以 这个地段价格便宜,位置,positive,价格,positive,设施,negative,,,,,,,,
设施有点旧，单人的房间很挤。最主要没有桌子凳子，行李都没法铺开，有点鸡肋。旁边有公交车站，但离地铁有点距离,设施,negative,位置,negative,,,,,,,,,,
差评！住过很多地方，从未给过差评，这次真是跟前台交涉无果才来评价。订的四人间，被安排住进了十人间，前台解释说我住的虽然是十人间，但只有五六个人，所以没问题！也不退钱！四人等于五六人吗！那应该按照六人间算钱吧！本来订四人间就是为了人少活动少，能休息好点，第二天还有重要的事要办，结果住成这样。,服务,negative,,,,,,,,,,,,
地理位置不错 青旅文化不是很浓,位置,positive,环境,negative,,,,,,,,,,
空间很狭小，隔音也很差，一直可以听到外面的说话声，睡眠不好，另前台态度很差，没耐心,态度,negative,隔音,negative,环境,negative,,,,,,,,
首先，我们住的是四人间的上铺，睡在上面只要动一下，床就在晃，感觉就要散架了。 第二，这次来北京住了3家青旅，就他家的一个房间没有独立卫生间和沐浴的，一双拖鞋也没有，他们说青旅一般不会准备拖鞋，但是为什么我去的其他店都有呢？ 第三，隔音效果相当差，晚上11点，楼上的人一直走过去走过来，那个木板就一直“哒哒哒”的来回响，当时真的很无语。,卫生,negative,隔音,negative,,,,,,,,,,
整个床像是要碎了一样，质量特别特别差，服务员态度很一般,态度,negative,服务,negative,床,negative,,,,,,,,
本人并没有入住，到店是凌晨两点钟的样子，被前台告知“因为十九大，所以不接待床位入住”，不好意思？不接待为什么不提前通知，给大家时间去重新选择酒店或者调整房型，并且我是提前有联系告知店家到店时间会比较迟，凌晨告诉我不能入住，你们有为客人考虑过么？,服务,negative,,,,,,,,,,,,
前台服务员态度极差，人到了 房间也明明收拾完了 就不让入住，很过分。晚上没入住 按正常能退款 不仅不退还找各种理由 连去哪网客服都说酒店服务员太差了。大家要慎重选择。一般不评论，真的很不满意。慎选。服务员真差。,态度,negative,服务,negative,,,,,,,,,,
老外多，出行方便。。。,交通,positive,,,,,,,,,,,,
还行吧，服务不错，适合出行,交通,positive,,,,,,,,,,,,
上铺不稳，动一下嘎嘎响。。。。,环境,negative,,,,,,,,,,,,
出行方便，价格实惠。。。,价格,positive,,,,,,,,,,,,
位置很好，房间无法烧开水，喝点水较麻烦，各方面还算满意，以后还是可以再光顾的。,位置,positive,,,,,,,,,,,,
服务态度差的要死，前台的大胖男的*着个脸，跟谁签了他八百万似的,态度,negative,服务,negative,,,,,,,,,,
房间没有信号，无线网也时常连不上，洗澡也要排队，上厕所也是，奉劝各位一句，千万不要订这里，兼职上当,环境,negative,,,,,,,,,,,,
总的来说价格和环境匹配，不能给高分是因为出现了问题没有得到合理解决 走的太匆忙掉了充电宝和衣服在这里，既然可以找到充电宝为什么不能帮忙再看看衣服，东西倒不是很贵重的东西，希望你们能更通人情，如果你们希望避免拿错客人衣服的嫌疑，可以至少是去房间帮我确认一下，再这样拖下去估计又是无疾而终，如果当天能帮我查看说不定还能找回我丢失的衣服。,环境,negative,价格,positive,,,,,,,,,,
东西落在酒店，给前台打电话找到了，给保留了，但是回来取，说没有，服务态度不好，爱答不理的，在也不住了。垃圾！,态度,negative,服务,negative,,,,,,,,,,
个别员工服务态度差的要死！会飚几句所谓的哑巴英语，总以为自己不得了，一副高高在上，比市委书记都牛。那女的皮肤黑，鼻孔粗，皮肤差，长头发，个子163左右，不瘦，长的跟骆驼似得。有能耐去国企啊，去银行啊，做个破收银吊什么？没有客人去饿死你！有眼不识恩人，**当做亲人！好的口碑才是立足之本，有这样的员工真是酒店的祸害！,态度,negative,服务,negative,,,,,,,,,,
墙体是湿的 空间很小，还有管子，没地方放置行李。 需要侧身过 被子枕头都发黄了 只有一个小小小柜子 无人倒垃圾,环境,negative,,,,,,,,,,,,
确实没给过差评 但影响了我的心情 先下订单后给前台打电话询问关于订单的事 语气很差 很不耐烦 我还没讲完就挂电话 办理入住也面无表情 给人感觉就很丧,服务,negative,,,,,,,,,,,,
个子**的女前台 服务态度太差，简直怀疑她是兼职做前台，实际是最**的!,态度,negative,服务,negative,,,,,,,,,,
差评！！！前台服务员换了三次房，都是同一个错误，正对空调口，最后换到一个不靠空调的位置，结果充电电源全部没有电，一个晚上都是同一个主客打呼噜，噪音过大，晚上几乎没有休息好，早上4:55都出来了，失望！！前台竟然不寻求方法解决，服务态度差！！！！！！！,态度,negative,位置,positive,服务,negative,,,,,,,,
很干净，服务好下次还去,服务,positive,,,,,,,,,,,,
太贵了 这样的价格可以住4星酒店了 标间才10平米还不配任何洗漱用品 严重没有性价比 位置非常不好 附近除了单位就是居民区 根本感受不到北京 去哪儿都极为不方便 前台那个相对岁数大的男的总一脸德行 动不动就拉下脸训斥别人 人家是花钱住店 又不是免费的住的 搞不清自己的位置 没有半点服务意识 卫生很好 但洗澡热水根本不够这么多人,位置,negative,服务,negative,价格,negative,卫生,negative,性价比,negative,,,,
说不好的：一.我是一宿没睡着（相当痛苦啊），因为同房间一位女士打呼噜超级响亮，秒秒打呼。二.白天和黑夜的蚊虫很多，叮咬超级严重。三.房屋内，被子和床木的味道重（我入住的屋子有窗并开着，可能通风不好吧）。其他：价格.在青旅里不算便宜。服务.还可以，没有特别好和不好的感受。早餐.18单买，价格不算高，自然味道是不怎么好。,服务,neutral,价格,negative,环境,negative,,,,,,,,
很简单的说 我从来没给过差评 毕竟一分钱一分货，青旅也是小本经营。 但是不至于住的不开心。 晚上很晚到青旅，手机被冻关机了，没办法微信或支付宝给押金，还要求必须给现金，然后放下行李就去取钱了。 确实交押金是应该的，但是也应该酌情。 反正 店员都很不热情，因为行李很多，搬来搬去很麻烦就续住了,服务,negative,,,,,,,,,,,,
太差劲了不能取消，定的时候明明是写的可以取消的,服务,negative,,,,,,,,,,,,
服务态度好，就是卫生差了，噪音比较大，不太好找,态度,negative,服务,negative,卫生,negative,,,,,,,,
差评。什么都要收钱连浴巾洗发水都要而且 这个价格太不合理了。166比店里要贵100块钱。完全欺诈,价格,positive,,,,,,,,,,,,
服务不怎么样，床单也不给换,服务,negative,卫生,negative,,,,,,,,,,
服务真的一般，人杂吵闹，晚上睡不好觉。。。,服务,negative,,,,,,,,,,,,
二楼没有男卫生间，半夜要走到楼下，尴尬，比较拥挤，33价钱实惠，,卫生,negative,,,,,,,,,,,,
服务太差，，，，，，,服务,negative,,,,,,,,,,,,
不满意的：床位脏，叫前台换了床单还是脏；四人间狭小，难以转身，一个行李箱都很难摊开；床不结实，随时都在吱吱响；上铺床尾正正对着空调；通风不好基本不开窗；无Wi-Fi无信号__；晾衣服的地方特别狭窄；地理位置不太方便；周围很少吃饭或者超市的地方 满意：浴室厕所明亮宽敞；前台服务还行；很安静各干各的；走廊摄像头很多应该比较安全。,位置,negative,服务,negative,环境,negative,,,,,,,,
价格到不贵，四人间很便宜。有点不人性化的就是洗衣服太贵了，都快赶上一天房费了,价格,positive,,,,,,,,,,,,
价格到不贵，四人间很便宜。有点不人性化的就是洗衣服太贵了，都快赶上一天房费了,价格,positive,,,,,,,,,,,,
喝水必须要付费才能有，不管何种季节不提供任何热水。被子不干净。八十多一张的床位说好了只是女士入住，在付费后晚上九点多回来竟然有男的睡在已经付费的床位上，管理只负责收费其他全无的服务，摄像头如同虚设，安全毫无保障。自身没有规则意识，没有违规成本，经营日期老天都给你们计算着呢吧。,服务,negative,安全,negative,,,,,,,,,,
还不错 还算干净技能 价格合理,价格,positive,卫生,positive,,,,,,,,,,
肚子饿想要点开水泡泡面既然说没有，最后没办法跑去买泡面的老板那拿开水，还有我朋友戒指掉床底下第二天回来去找就没找到七千多戒指就这样没了因为最后两天就没换地方住,服务,negative,,,,,,,,,,,,
